fixture_id,complexity,neutral_pass,explicit_pass,transition,baseline_condition,baseline_abs_raw_ab_margin,neutral_abs_raw_ab_margin
RESCS1-000,LOW,0,0,no_change,EL,2.5,3.0
RESCS1-000,HIGH,0,1,fail_to_pass,EH,1.5,0.0
RESCS1-001,LOW,1,1,no_change,EL,2.75,1.5
RESCS1-001,HIGH,1,1,no_change,EH,5.125,1.25
RESCS1-002,LOW,0,0,no_change,EL,11.125,4.375
RESCS1-002,HIGH,0,0,no_change,EH,11.25,6.875
RESCS1-003,LOW,1,1,no_change,EL,6.625,11.25
RESCS1-003,HIGH,1,1,no_change,EH,1.75,8.875
RESCS1-004,LOW,1,0,pass_to_fail,EL,2.0,3.5
RESCS1-004,HIGH,1,0,pass_to_fail,EH,7.625,3.375
RESCS1-005,LOW,1,0,pass_to_fail,EL,0.25,0.75
RESCS1-005,HIGH,0,0,no_change,EH,2.75,1.75
RESCS1-006,LOW,0,0,no_change,EL,13.75,13.375
RESCS1-006,HIGH,0,0,no_change,EH,11.0,12.25
RESCS1-007,LOW,1,1,no_change,EL,13.875,15.125
RESCS1-007,HIGH,1,1,no_change,EH,16.0,13.375
RESCS1-008,LOW,1,1,no_change,EL,1.625,2.375
RESCS1-008,HIGH,0,1,fail_to_pass,EH,4.125,1.125
RESCS1-009,LOW,1,1,no_change,EL,0.75,2.25
RESCS1-009,HIGH,0,1,fail_to_pass,EH,3.25,0.5
RESCS1-010,LOW,0,0,no_change,EL,1.625,0.625
RESCS1-010,HIGH,0,0,no_change,EH,1.5,1.125
RESCS1-011,LOW,1,1,no_change,EL,0.125,1.125
RESCS1-011,HIGH,1,1,no_change,EH,2.875,3.125
RESCS1-012,LOW,0,0,no_change,EL,0.25,1.5
RESCS1-012,HIGH,0,0,no_change,EH,3.0,0.75
RESCS1-013,LOW,1,0,pass_to_fail,EL,1.25,2.5
RESCS1-013,HIGH,0,0,no_change,EH,3.5,0.875
RESCS1-014,LOW,0,0,no_change,EL,0.375,2.625
RESCS1-014,HIGH,0,0,no_change,EH,5.625,3.875
RESCS1-015,LOW,1,1,no_change,EL,1.25,0.375
RESCS1-015,HIGH,1,1,no_change,EH,0.75,2.25
RESCS1-016,LOW,1,1,no_change,EL,5.0,0.75
RESCS1-016,HIGH,1,1,no_change,EH,7.0,1.5
RESCS1-017,LOW,0,1,fail_to_pass,EL,2.25,3.25
RESCS1-017,HIGH,0,1,fail_to_pass,EH,4.375,4.75
RESCS1-018,LOW,0,0,no_change,EL,6.375,1.875
RESCS1-018,HIGH,0,0,no_change,EH,3.5,1.75
RESCS1-019,LOW,1,1,no_change,EL,9.875,12.125
RESCS1-019,HIGH,1,1,no_change,EH,7.75,10.75
RESCS1-020,LOW,0,0,no_change,EL,5.25,1.25
RESCS1-020,HIGH,0,0,no_change,EH,5.75,2.5
RESCS1-021,LOW,1,0,pass_to_fail,EL,2.25,0.0
RESCS1-021,HIGH,0,0,no_change,EH,4.25,0.25
RESCS1-022,LOW,0,0,no_change,EL,14.375,13.0
RESCS1-022,HIGH,0,0,no_change,EH,13.5,13.25
RESCS1-023,LOW,1,1,no_change,EL,12.5,13.25
RESCS1-023,HIGH,1,1,no_change,EH,16.25,10.875
RESCS1-024,LOW,0,1,fail_to_pass,EL,1.25,2.75
RESCS1-024,HIGH,0,1,fail_to_pass,EH,5.25,1.375
RESCS1-025,LOW,0,1,fail_to_pass,EL,1.0,2.0
RESCS1-025,HIGH,0,1,fail_to_pass,EH,5.125,1.125
RESCS1-026,LOW,0,0,no_change,EL,1.75,0.75
RESCS1-026,HIGH,0,0,no_change,EH,2.625,0.125
RESCS1-027,LOW,1,1,no_change,EL,1.375,0.5
RESCS1-027,HIGH,1,1,no_change,EH,4.75,3.0
RESCS1-028,LOW,0,1,fail_to_pass,EL,1.375,3.125
RESCS1-028,HIGH,1,0,pass_to_fail,EH,5.625,1.5
RESCS1-029,LOW,0,0,no_change,EL,1.25,3.0
RESCS1-029,HIGH,0,0,no_change,EH,6.875,4.375
RESCS1-030,LOW,0,0,no_change,EL,0.625,2.375
RESCS1-030,HIGH,0,0,no_change,EH,6.875,5.0
RESCS1-031,LOW,1,1,no_change,EL,1.25,1.25
RESCS1-031,HIGH,1,1,no_change,EH,0.25,2.25
RESCS1-032,LOW,0,0,no_change,EL,2.75,4.625
RESCS1-032,HIGH,0,1,fail_to_pass,EH,0.25,3.0
RESCS1-033,LOW,1,1,no_change,EL,5.625,3.5
RESCS1-033,HIGH,1,1,no_change,EH,7.75,4.375
RESCS1-034,LOW,0,0,no_change,EL,1.25,6.5
RESCS1-034,HIGH,0,0,no_change,EH,0.375,4.875
RESCS1-035,LOW,1,1,no_change,EL,11.0,11.0
RESCS1-035,HIGH,1,1,no_change,EH,10.75,10.0
RESCS1-036,LOW,1,0,pass_to_fail,EL,0.75,1.25
RESCS1-036,HIGH,1,0,pass_to_fail,EH,3.375,0.0
RESCS1-037,LOW,1,0,pass_to_fail,EL,1.5,1.5
RESCS1-037,HIGH,1,0,pass_to_fail,EH,4.5,0.5
