observation_id,fixture_id,condition,framing,complexity,expected,generated_classification,logit_classification,logit_correct,pass,parsed,raw_a_logit,raw_b_logit,processed_a_logit,processed_b_logit,raw_ab_margin,decision_margin,prompt_token_count,prompt_char_count,response_token_count,explicit,high,interaction,prompt_tokens_centered,position_centered,position_within_fixture,evaluation_order,model,run_id,seed,prompt_sha256
RESCS1-047:NH,RESCS1-047,NH,NEUTRAL,HIGH,B,B,B,1,1,1,25.625,27.375,25.625,27.375,-1.75,1.75,237,956,3,0,1,0,0.37,-1.5,0,0,Qwen/Qwen2.5-3B-Instruct,36155517723,20260925,deef53b4cdb2a7523f563b9021a51cd2d0b2c75ed8d0e47805bcfa65560452a3
RESCS1-047:NL,RESCS1-047,NL,NEUTRAL,LOW,B,B,A,0,1,1,26.625,26.625,26.625,26.625,0.0,-0.0,217,880,3,0,0,0,0.17,-0.5,1,1,Qwen/Qwen2.5-3B-Instruct,36155517723,20260925,4ea017a2fc6902c123ecb8b589a5a79922a9e6d1a67672d17496978a8cec03a3
RESCS1-047:EL,RESCS1-047,EL,EXPLICIT,LOW,B,B,B,1,1,1,25.875,27.25,25.875,27.25,-1.375,1.375,224,868,3,1,0,0,0.24,0.5,2,2,Qwen/Qwen2.5-3B-Instruct,36155517723,20260925,d6aa2f38a8fcea33d287f919176ec16ee1da09a77a0b1984e75283e86d0b42dd
RESCS1-047:EH,RESCS1-047,EH,EXPLICIT,HIGH,B,B,A,0,1,1,29.25,29.125,29.25,29.125,0.125,-0.125,252,940,3,1,1,1,0.52,1.5,3,3,Qwen/Qwen2.5-3B-Instruct,36155517723,20260925,7a3f6b621930855f1c6d031ab3ece8f03d91370540960e1b591642e7ce9f103a
RESCS1-043:NL,RESCS1-043,NL,NEUTRAL,LOW,A,A,A,1,1,1,34.75,31.25,34.75,31.25,3.5,3.5,217,860,1,0,0,0,0.17,-1.5,0,4,Qwen/Qwen2.5-3B-Instruct,36155517723,20260925,219888680282659fb651cef76d6534f5d6b8595fae35abdefad93bec71f5c546
RESCS1-043:EL,RESCS1-043,EL,EXPLICIT,LOW,A,A,A,1,1,1,33.25,31.25,33.25,31.25,2.0,2.0,224,848,3,1,0,0,0.24,-0.5,1,5,Qwen/Qwen2.5-3B-Instruct,36155517723,20260925,b59a8cdf793207a0d294bd2ec5a7658f842374df4b25af208175907b5a5dda96
RESCS1-043:EH,RESCS1-043,EH,EXPLICIT,HIGH,A,A,A,1,1,1,35.0,31.875,35.0,31.875,3.125,3.125,252,920,1,1,1,1,0.52,0.5,2,6,Qwen/Qwen2.5-3B-Instruct,36155517723,20260925,1512d5416e6f74c550886216edb76f570ae1c4f37e9e6149b7ee3f84f7793c79
RESCS1-043:NH,RESCS1-043,NH,NEUTRAL,HIGH,A,A,A,1,1,1,33.5,30.375,33.5,30.375,3.125,3.125,237,936,1,0,1,0,0.37,1.5,3,7,Qwen/Qwen2.5-3B-Instruct,36155517723,20260925,4329ece576cc5f28a0b289ec4fc7fd465f4c749180f365b6a2274c5cce5da9ba
RESCS1-004:EL,RESCS1-004,EL,EXPLICIT,LOW,A,B,B,0,0,1,34.5,36.5,34.5,36.5,-2.0,-2.0,224,855,1,1,0,0,0.24,-1.5,0,8,Qwen/Qwen2.5-3B-Instruct,36155517723,20260925,515fdfb03ea5fa805f7bd8b84378264b71c5420cd8a7409d1e5168901c388466
RESCS1-004:EH,RESCS1-004,EH,EXPLICIT,HIGH,A,B,B,0,0,1,29.375,37.0,29.375,37.0,-7.625,-7.625,252,927,1,1,1,1,0.52,-0.5,1,9,Qwen/Qwen2.5-3B-Instruct,36155517723,20260925,d7749c07fef59a3405c53299f6b9be5791db2bb171981d515e9ff7f14dfe362e
RESCS1-004:NH,RESCS1-004,NH,NEUTRAL,HIGH,A,A,A,1,1,1,35.25,31.875,35.25,31.875,3.375,3.375,237,943,1,0,1,0,0.37,0.5,2,10,Qwen/Qwen2.5-3B-Instruct,36155517723,20260925,0e9ff1d681b9e71218fbab39982977ea7bd8d22858f50f265bbcc5a79cb41459
RESCS1-004:NL,RESCS1-004,NL,NEUTRAL,LOW,A,A,A,1,1,1,36.0,32.5,36.0,32.5,3.5,3.5,217,867,1,0,0,0,0.17,1.5,3,11,Qwen/Qwen2.5-3B-Instruct,36155517723,20260925,bf82dfd3746ea09dd74b0ffcf76a8765685133215e7e7f88b052bf96df624d1b
RESCS1-029:EH,RESCS1-029,EH,EXPLICIT,HIGH,B,A,A,0,0,1,37.5,30.625,37.5,30.625,6.875,-6.875,249,932,1,1,1,1,0.49,-1.5,0,12,Qwen/Qwen2.5-3B-Instruct,36155517723,20260925,a141baedc0e7ff145132f4ede46b3963d2b3e58c6cd0060fb56dd70cc94c5afe
